id	titulo	descricao	categoria	preco	desconto	stock	image
11	Annibale Colombo Bed	The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.	furniture	1899.99	0.29	47	https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/1.png
12	Annibale Colombo Sofa	The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.	furniture	2499.99	18.54	16	https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/1.png
13	Bedside Table African Cherry	The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.	furniture	299.99	9.58	16	https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/1.png
14	Knoll Saarinen Executive Conference Chair	The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.	furniture	499.99	15.23	47	https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/1.png
15	Wooden Bathroom Sink With Mirror	The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.	furniture	799.99	11.22	95	https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/1.png
16	Apple	Fresh and crisp apples, perfect for snacking or incorporating into various recipes.	groceries	1.99	1.97	9	https://cdn.dummyjson.com/products/images/groceries/Apple/1.png
17	Beef Steak	High-quality beef steak, great for grilling or cooking to your preferred level of doneness.	groceries	12.99	17.99	96	https://cdn.dummyjson.com/products/images/groceries/Beef%20Steak/1.png
18	Cat Food	Nutritious cat food formulated to meet the dietary needs of your feline friend.	groceries	8.99	9.57	13	https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/1.png
19	Chicken Meat	Fresh and tender chicken meat, suitable for various culinary preparations.	groceries	9.99	10.46	69	https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/1.png
20	Cooking Oil	Versatile cooking oil suitable for frying, sautéing, and various culinary applications.	groceries	4.99	18.89	22	https://cdn.dummyjson.com/products/images/groceries/Cooking%20Oil/1.png
21	Cucumber	Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.	groceries	1.49	11.44	22	https://cdn.dummyjson.com/products/images/groceries/Cucumber/1.png
22	Dog Food	Specially formulated dog food designed to provide essential nutrients for your canine companion.	groceries	10.99	18.15	40	https://cdn.dummyjson.com/products/images/groceries/Dog%20Food/1.png
23	Eggs	Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.	groceries	2.99	5.80	10	https://cdn.dummyjson.com/products/images/groceries/Eggs/1.png
24	Fish Steak	Quality fish steak, suitable for grilling, baking, or pan-searing.	groceries	14.99	7.00	99	https://cdn.dummyjson.com/products/images/groceries/Fish%20Steak/1.png
25	Green Bell Pepper	Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.	groceries	1.29	15.50	89	https://cdn.dummyjson.com/products/images/groceries/Green%20Bell%20Pepper/1.png
26	Green Chili Pepper	Spicy green chili pepper, ideal for adding heat to your favorite recipes.	groceries	0.99	18.51	8	https://cdn.dummyjson.com/products/images/groceries/Green%20Chili%20Pepper/1.png
27	Honey Jar	Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.	groceries	6.99	1.91	25	https://cdn.dummyjson.com/products/images/groceries/Honey%20Jar/1.png
28	Ice Cream	Creamy and delicious ice cream, available in various flavors for a delightful treat.	groceries	5.49	7.58	76	https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/1.png
29	Juice	Refreshing fruit juice, packed with vitamins and great for staying hydrated.	groceries	3.99	5.45	99	https://cdn.dummyjson.com/products/images/groceries/Juice/1.png
30	Kiwi	Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.	groceries	2.49	10.32	1	https://cdn.dummyjson.com/products/images/groceries/Kiwi/1.png
